ID,Ref,year,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Nickname(n),-HOMO_n(eV),-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),Nickname(p),-HOMO_p(eV),-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,p/n ratio (p),p/n ratio (n),Solvent,Additive,TA (oC),thick (nm),Unnamed: 28,Journal,DOI,Abstract
344,153,2015,6.3,6.0,10.7,0.57,0.98,SF-PDI2,5.9,3.83,2.07,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,1718.33,PffBT4T-2DT,5.36,3.71,1.65,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,140.0,70.0,2.0,1.0,1.4,CB,,100,120.0,,Energy Environ. Sci.,10.1039/c4ee02990a,"Here we report high-performance small molecule acceptor (SMA)-based organic solar cells (OSCs) enabled by the combination of a difluorobenzothiadiazole donor polymer named PffBT4T-2DT and a SMA named SF-PDI2. It is found that SF-PDI2 matches particularly well with PffBT4T-2DT and non-fullerene OSCs with an impressive VOC of 0.98 V, and a high power conversion efficiency of 6.3% is achieved. Our study shows that PffBT4T-2DT is a promising donor material for SMA-based OSCs, and the selection of a matching SMA is also important to achieve the best OSC performance."
345,153,2015,5.4,5.1,11.4,0.53,0.84,diPDI,5.99,3.96,2.03,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C(C4=CC5=C6C7=C4C8=CC=C(C(N9C(CCCCCC)CCCCCC)=O)C%10=C8C(C7=CC=C6C(N(C(CCCCCC)CCCCCC)C5=O)=O)=CC=C%10C9=O)C=C%11C=C%12C%13=C%14C%11=C3C(C2=C1C=C%15)=C%15C%14=CC=C%13C(N(C(CCCCCC)CCCCCC)C%12=O)=O,1532.12,PffBT4T-2DT,5.36,3.71,1.65,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,140.0,70.0,2.0,1.0,1.4,CB,,100,120.0,,Energy Environ. Sci.,10.1039/c4ee02990a,"Here we report high-performance small molecule acceptor (SMA)-based organic solar cells (OSCs) enabled by the combination of a difluorobenzothiadiazole donor polymer named PffBT4T-2DT and a SMA named SF-PDI2. It is found that SF-PDI2 matches particularly well with PffBT4T-2DT and non-fullerene OSCs with an impressive VOC of 0.98 V, and a high power conversion efficiency of 6.3% is achieved. Our study shows that PffBT4T-2DT is a promising donor material for SMA-based OSCs, and the selection of a matching SMA is also important to achieve the best OSC performance."
346,153,2015,3.0,2.9,7.4,0.39,1.0,SF-PDI2,5.9,3.83,2.07,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,1718.33,PTB7-Th,5.39,3.79,1.6,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.4,CB,,100,120.0,,Energy Environ. Sci.,10.1039/c4ee02990a,"Here we report high-performance small molecule acceptor (SMA)-based organic solar cells (OSCs) enabled by the combination of a difluorobenzothiadiazole donor polymer named PffBT4T-2DT and a SMA named SF-PDI2. It is found that SF-PDI2 matches particularly well with PffBT4T-2DT and non-fullerene OSCs with an impressive VOC of 0.98 V, and a high power conversion efficiency of 6.3% is achieved. Our study shows that PffBT4T-2DT is a promising donor material for SMA-based OSCs, and the selection of a matching SMA is also important to achieve the best OSC performance."
347,154,2015,6.31,6.08,13.55,0.48,0.97,IEIC,5.45,3.88,1.57,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(CC(CC)CCCC)C=C(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)CC(CC)CCCC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1704.46,PTB7-Th,5.39,3.79,1.6,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.5,CB,,,,,Energy Environ. Sci.,10.1039/c4ee03424d,"A nonfullerene electron acceptor (IEIC) based on indaceno[1,2-b:5,6-b′]dithiophene and 2-(3-oxo-2,3-dihydroinden-1-ylidene)malononitrile was designed and synthesized. IEIC exhibited good thermal stability, strong absorption in the 500–750 nm region with an extinction coefficient of 1.1 × 105 M−1 cm−1 at 672 nm, deep LUMO energy level (−3.82 eV) close to those of fullerenes, and a relatively high electron mobility of 2.1 × 10−4 cm2 V−1 s−1. Fullerene-free polymer solar cells (PSCs) based on the blends of the IEIC acceptor and a low-bandgap polymer donor PTB7-TH, using a perylene diimide derivative as a cathode interlayer, showed power conversion efficiencies (PCEs) of up to 6.31%, which is among the best PCEs reported for fullerene-free PSCs."
348,155,2016,8.58,8.21,15.2,0.62,0.91,IDSe-T-IC,5.45,3.79,1.66,CCCCCCC(C=C1)=CC=C1C(C2=C3[Se]C(C4=C(CC(CC)CCCC)C(C=C5C(C(C=CC=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10[Se]C(C%11=C(C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)=CS%11)CC(CC)CCCC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1798.26,J51,5.29,3.3,1.99,CC1=CC(C(S1)=C2C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CCCCCC)CCCCCCCC)S9,140.0,70.0,2.0,1.0,1.0,CF,,,,,Energy Environ. Sci.,10.1039/c6ee00315j,"In this work, we present a non-fullerene electron acceptor bearing a fused five-heterocyclic ring containing selenium atoms, denoted as IDSe-T-IC, for fullerene-free polymer solar cells (PSCs). This molecule exhibits a low band gap (Eg = 1.52 eV), strong absorption in the 600–850 nm region and a high LUMO level (−3.79 eV). When a large band gap polymer J51 (Eg = 1.91 eV) was used as the donor, complementary absorption of the polymer donor and acceptor was obtained in the wavelength range of 350–850 nm. The solar cell based on J51:IDSe-T-IC gives a maximum PCE of 8.6%, with a high Voc of 0.91 V, a Jsc of 15.20 mA cm−2 and a fill factor (FF) of 62.0%. Moreover, this performance is much higher than that of J51:PC71BM based PSCs under similar device fabrication conditions (PCE = 6.0%). The trade-off features of the Jsc and Voc existing in PSCs with fullerene acceptors have been minimized in the fullerene-free PSCs based on IDSe-T-IC and J51. The results demonstrate that fine-tuning the absorption and electronic energy levels of non-fullerene acceptors, and properly selecting a polymer donor to achieve complementary absorption, is a promising way to further improve the performance of the PSCs."
349,156,2017,11.9,11.4,18.9,0.63,1.0,IT-M,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PB3T,5.39,3.37,2.02,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=CC=C(C7=C(C(OCC(CC)CCCC)=O)C=C(C)S7)S6)S5)S4)C8=CC=C(SCCCCCCCC)S8,107.457,35.7,3.01,1.0,0.67,AS,,,,,Energy Environ. Sci.,10.1039/c6ee03489f,"Two p-type conjugated polymers with disparate optical and electronic properties, PB3T and PB2T, were developed and applied in fullerene-free polymer solar cells (PSCs). The photovoltaic performance of the PB3T-based PSC device processed by anisole achieved a high power conversion efficiency of 11.9% with a Jsc of 18.8 mA cm−2 and Voc of 1.00 V."
350,156,2017,0.01,0.01,0.08,0.26,0.56,IT-M,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PB2T,5.63,3.63,2.0,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=C(C(OCC(CC)CCCC)=O)C=C(C)S6)S5)S4)C7=CC=C(SCCCCCCCC)S7,59.888,30.4,1.97,1.0,1.0,CB,,150,,,Energy Environ. Sci.,10.1039/c6ee03489f,"Two p-type conjugated polymers with disparate optical and electronic properties, PB3T and PB2T, were developed and applied in fullerene-free polymer solar cells (PSCs). The photovoltaic performance of the PB3T-based PSC device processed by anisole achieved a high power conversion efficiency of 11.9% with a Jsc of 18.8 mA cm−2 and Voc of 1.00 V."
351,157,2017,9.56,9.37,16.35,0.671,0.87,BT-IC,5.32,3.85,1.47,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,1698.41,J61,5.22,3.21,2.01,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(SCCCCCCCCCCCC)S9,140.0,70.0,2.0,1.0,1.0,CF,,,,,Energy Environ. Sci.,10.1039/c7ee00844a,"Low-bandgap polymers/molecules are an interesting family of semiconductor materials, and have enabled many recent exciting breakthroughs in the field of organic electronics, especially for organic photovoltaics (OPVs). Here, such a low-bandgap (1.43 eV) non-fullerene electron acceptor (BT-IC) bearing a fused 7-heterocyclic ring with absorption edge extending to the near-infrared (NIR) region was specially designed and synthesized. Benefitted from its NIR light harvesting, high performance OPVs were fabricated with medium bandgap polymers (J61 and J71) as donors, showing power conversion efficiencies of 9.6% with J61 and 10.5% with J71 along with extremely low energy loss (0.56 eV for J61 and 0.53 eV for J71). Interestingly, femtosecond transient absorption spectroscopy studies on both systems show that efficient charge generation was observed despite the fact that the highest occupied molecular orbital (HOMO)–HOMO offset (ΔEH) in the blends was as low as 0.10 eV, suggesting that such a small ΔEH is not a crucial limitation in realizing high performance of NIR non-fullerene based OPVs. Our results indicated that BT-IC is an interesting NIR non-fullerene acceptor with great potential application in tandem/multi-junction, semitransparent, and ternary blend solar cells."
352,157,2017,10.46,10.28,17.75,0.657,0.9,BT-IC,5.32,3.85,1.47,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,1698.41,J71,5.25,3.18,2.07,CCC[Si](CCC)(C1=CC=C(C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCCCCCC)N=C57)S4)S2)=C8C(SC(C)=C8)=C3C9=CC=C([Si](CCC)(CCC)CCC)S9)S1)CCC,139.0,56.2,2.47,1.0,1.5,CF,,,,,Energy Environ. Sci.,10.1039/c7ee00844a,"Low-bandgap polymers/molecules are an interesting family of semiconductor materials, and have enabled many recent exciting breakthroughs in the field of organic electronics, especially for organic photovoltaics (OPVs). Here, such a low-bandgap (1.43 eV) non-fullerene electron acceptor (BT-IC) bearing a fused 7-heterocyclic ring with absorption edge extending to the near-infrared (NIR) region was specially designed and synthesized. Benefitted from its NIR light harvesting, high performance OPVs were fabricated with medium bandgap polymers (J61 and J71) as donors, showing power conversion efficiencies of 9.6% with J61 and 10.5% with J71 along with extremely low energy loss (0.56 eV for J61 and 0.53 eV for J71). Interestingly, femtosecond transient absorption spectroscopy studies on both systems show that efficient charge generation was observed despite the fact that the highest occupied molecular orbital (HOMO)–HOMO offset (ΔEH) in the blends was as low as 0.10 eV, suggesting that such a small ΔEH is not a crucial limitation in realizing high performance of NIR non-fullerene based OPVs. Our results indicated that BT-IC is an interesting NIR non-fullerene acceptor with great potential application in tandem/multi-junction, semitransparent, and ternary blend solar cells."
353,158,2018,11.02,10.76,16.0,0.753,0.915,IDT6CN-M,5.68,3.92,1.76,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C=C(/C=C%13C(C(C=C(C)C=C%14)=C%14C\%13=C(C#N)/C#N)=O)S%12,1399.93,PBDB-T,5.21,3.41,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.2,CB,DIO,120,,,Energy Environ. Sci.,10.1039/c8ee00215k,"Non-fullerene polymer solar cells (PSCs) attract more attention due to the constantly refreshed power conversion efficiency (PCE) based on the versatile non-fullerene acceptors. In this work, PCEs of 10.51% and 11.02% were obtained for two kinds of non-fullerene PSC with IDT6CN-M or ITCPTC as the acceptor and PBDB-T as the donor. ITCPTC has a relatively narrow bandgap and a high absorption coefficient compared with IDT6CN-M, which explains well the relatively large short-circuit current density of 17.44 mA cm−2 for the ITCPTC based binary PSCs. Meanwhile, the IDT6CN-M based binary PSCs exhibit a relatively high fill factor (FF) of 75.3% and an open-circuit voltage of 0.915 V. A PCE of 11.92% and a FF of 76.5% were achieved for the ternary PSCs with 60 wt% ITCPTC content in the acceptors, which should be attributed to the enhanced photon harvesting and their good compatibility for a synergistic improvement of exciton utilization and charge transport in the ternary active layers. The FF of 76.5% is among the top values of ternary non-fullerene PSCs."
354,158,2018,10.51,10.32,17.44,0.721,0.836,ITCPTC,5.64,3.98,1.66,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)\C#N)=O)=C%15)=C%15S%12,1440.0,PBDB-T,5.21,3.41,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.2,CB,DIO,120,,,Energy Environ. Sci.,10.1039/c8ee00215k,"Non-fullerene polymer solar cells (PSCs) attract more attention due to the constantly refreshed power conversion efficiency (PCE) based on the versatile non-fullerene acceptors. In this work, PCEs of 10.51% and 11.02% were obtained for two kinds of non-fullerene PSC with IDT6CN-M or ITCPTC as the acceptor and PBDB-T as the donor. ITCPTC has a relatively narrow bandgap and a high absorption coefficient compared with IDT6CN-M, which explains well the relatively large short-circuit current density of 17.44 mA cm−2 for the ITCPTC based binary PSCs. Meanwhile, the IDT6CN-M based binary PSCs exhibit a relatively high fill factor (FF) of 75.3% and an open-circuit voltage of 0.915 V. A PCE of 11.92% and a FF of 76.5% were achieved for the ternary PSCs with 60 wt% ITCPTC content in the acceptors, which should be attributed to the enhanced photon harvesting and their good compatibility for a synergistic improvement of exciton utilization and charge transport in the ternary active layers. The FF of 76.5% is among the top values of ternary non-fullerene PSCs."
355,159,2018,12.55,12.37,20.81,0.7093,0.85,MeIC1,5.59,3.89,1.7,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C5=C(C)SC=C5C\4=C(C#N)\C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC%10=C8SC%11=C%10SC(/C=C%12C(C%13=C(C)SC=C%13C\%12=C(C#N)\C#N)=O)=C%11)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C9=C7,1468.05,PBDB-T,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.0,CB,DIO,120,,,Energy Environ. Sci.,10.1039/c8ee01107a,"Highly efficient ternary polymer solar cells (PSCs) are fabricated from two well-compatible small molecular nonfullerene acceptors (INPIC-4F and MeIC1) and one polymer donor, PBDB-T. The power conversion efficiency (PCE) of the INPIC-4F or MeIC1 based binary PSCs reaches 12.55% and 11.53%. Based on these efficient binary PSCs, a high PCE of 13.73% is achieved in the ternary PSCs with 50 wt% MeIC1 in the acceptors, resulting from the simultaneously improved short circuit current (JSC) of 21.86 mA cm−2, open circuit voltage (VOC) of 0.88 V and fill factor (FF) of 71.39%. The PCE improvement of the ternary PSCs should be mainly attributed to the simultaneously optimized photon harvesting and film morphology of the ternary active layers. This result may provide more in-depth insight into the material selection criteria for fabricating highly efficient ternary PSCs: (i) the complementary absorption spectra and good compatibility of the used materials; (ii) the complementary photovoltaic parameters of the corresponding two binary PSCs."
356,159,2018,11.53,11.48,17.53,0.7311,0.9,INPIC-4F,5.42,3.94,1.48,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6N(CCCCCCCC)C8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(N(CCCCCCCC)C%14=C%15SC(/C=C%16/C(C%17=C(C%16=O)C=C(F)C(F)=C%17)=C(C#N)\C#N)=C%14)=C%15S%13,1802.42,PBDB-T,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.0,CB,DIO,120,,,Energy Environ. Sci.,10.1039/c8ee01107a,"Highly efficient ternary polymer solar cells (PSCs) are fabricated from two well-compatible small molecular nonfullerene acceptors (INPIC-4F and MeIC1) and one polymer donor, PBDB-T. The power conversion efficiency (PCE) of the INPIC-4F or MeIC1 based binary PSCs reaches 12.55% and 11.53%. Based on these efficient binary PSCs, a high PCE of 13.73% is achieved in the ternary PSCs with 50 wt% MeIC1 in the acceptors, resulting from the simultaneously improved short circuit current (JSC) of 21.86 mA cm−2, open circuit voltage (VOC) of 0.88 V and fill factor (FF) of 71.39%. The PCE improvement of the ternary PSCs should be mainly attributed to the simultaneously optimized photon harvesting and film morphology of the ternary active layers. This result may provide more in-depth insight into the material selection criteria for fabricating highly efficient ternary PSCs: (i) the complementary absorption spectra and good compatibility of the used materials; (ii) the complementary photovoltaic parameters of the corresponding two binary PSCs."
357,160,2014,5.04,4.91,10.14,0.58,0.86,DBFI-T,5.8,3.8,2.0,O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=CC=C(C(C7=N8)=C9N=C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C(C%13=C%10C%11=C%12C=C%13)=NC9=C(C7=NC(C%14=C%15C%16=C%17C=C%14)=C8C%15=CC=C%16C(N(C%17=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C%18=CC=CC=C%18)S6)C%19=NC%20=C%21C%22=C%23C(C%24=CC=C%23%20)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%24=O)=O)C=C%22)C3=C(C4=NC5=C(C%25=CC=CC=C%25)C%19=N%21)C=C2,2715.91,PSEHTT,5.1,3.3,1.8,CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C5=C6SC(C)=C5)=C6S4)S3)=N7)=C7S2)S1,132.21,33.9,3.9,1.0,2.0,CF,,175,,,J. Am. Chem. Soc.,10.1021/ja508472j,"New electron-acceptor materials are long sought to overcome the small photovoltage, high-cost, poor photochemical stability, and other limitations of fullerene-based organic photovoltaics. However, all known nonfullerene acceptors have so far shown inferior photovoltaic properties compared to fullerene benchmark [6,6]-phenyl-C60-butyric acid methyl ester (PC60BM), and there are as yet no established design principles for realizing improved materials. Herein we report a design strategy that has produced a novel multichromophoric, large size, nonplanar three-dimensional (3D) organic molecule, DBFI-T, whose π-conjugated framework occupies space comparable to an aggregate of 9 [C60]-fullerene molecules. Comparative studies of DBFI-T with its planar monomeric analogue (BFI-P2) and PC60BM in bulk heterojunction (BHJ) solar cells, by using a common thiazolothiazole-dithienosilole copolymer donor (PSEHTT), showed that DBFI-T has superior charge photogeneration and photovoltaic properties; PSEHTT:DBFI-T solar cells combined a high short-circuit current (10.14 mA/cm(2)) with a high open-circuit voltage (0.86 V) to give a power conversion efficiency of 5.0%. The external quantum efficiency spectrum of PSEHTT:DBFI-T devices had peaks of 60-65% in the 380-620 nm range, demonstrating that both hole transfer from photoexcited DBFI-T to PSEHTT and electron transfer from photoexcited PSEHTT to DBFI-T contribute substantially to charge photogeneration. The superior charge photogeneration and electron-accepting properties of DBFI-T were further confirmed by independent Xenon-flash time-resolved microwave conductivity measurements, which correctly predict the relative magnitudes of the conversion efficiencies of the BHJ solar cells: PSEHTT:DBFI-T > PSEHTT:PC60BM > PSEHTT:BFI-P2. The results demonstrate that the large size, multichromophoric, nonplanar 3D molecular design is a promising approach to more efficient organic photovoltaic materials."
358,160,2014,1.44,1.39,3.16,0.49,0.94,BFI-P2,5.8,3.6,2.2,CCCCCCCCCCC(CN(C1=O)C(C2=CC=C3C4=C(C5=C3C2=C1C=C5)N=C6C(C7=CC=CC=C7)=C8N=C(C9=C%10C%11=C%12C=C9)C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=NC8=C(C%13=CC=CC=C%13)C6=N4)=O)CCCCCCCCCCCC,1394.0,PSEHTT,5.1,3.3,1.8,CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C5=C6SC(C)=C5)=C6S4)S3)=N7)=C7S2)S1,132.21,33.9,3.9,1.0,4.0,CF,,175,,,J. Am. Chem. Soc.,10.1021/ja508472j,"New electron-acceptor materials are long sought to overcome the small photovoltage, high-cost, poor photochemical stability, and other limitations of fullerene-based organic photovoltaics. However, all known nonfullerene acceptors have so far shown inferior photovoltaic properties compared to fullerene benchmark [6,6]-phenyl-C60-butyric acid methyl ester (PC60BM), and there are as yet no established design principles for realizing improved materials. Herein we report a design strategy that has produced a novel multichromophoric, large size, nonplanar three-dimensional (3D) organic molecule, DBFI-T, whose π-conjugated framework occupies space comparable to an aggregate of 9 [C60]-fullerene molecules. Comparative studies of DBFI-T with its planar monomeric analogue (BFI-P2) and PC60BM in bulk heterojunction (BHJ) solar cells, by using a common thiazolothiazole-dithienosilole copolymer donor (PSEHTT), showed that DBFI-T has superior charge photogeneration and photovoltaic properties; PSEHTT:DBFI-T solar cells combined a high short-circuit current (10.14 mA/cm(2)) with a high open-circuit voltage (0.86 V) to give a power conversion efficiency of 5.0%. The external quantum efficiency spectrum of PSEHTT:DBFI-T devices had peaks of 60-65% in the 380-620 nm range, demonstrating that both hole transfer from photoexcited DBFI-T to PSEHTT and electron transfer from photoexcited PSEHTT to DBFI-T contribute substantially to charge photogeneration. The superior charge photogeneration and electron-accepting properties of DBFI-T were further confirmed by independent Xenon-flash time-resolved microwave conductivity measurements, which correctly predict the relative magnitudes of the conversion efficiencies of the BHJ solar cells: PSEHTT:DBFI-T > PSEHTT:PC60BM > PSEHTT:BFI-P2. The results demonstrate that the large size, multichromophoric, nonplanar 3D molecular design is a promising approach to more efficient organic photovoltaic materials."
