,DOI,Abstract
51,10.1002/aenm.201700746,"A new 2D‐conjugated medium bandgap donor–acceptor copolymer, J81, based on benzodifuran with trialkylsilyl thiophene side chains as donor unit and fluorobenzothiazole as acceptor, is synthesized and successfully used in nonfullerene polymer solar cells (PSCs) with low bandgap n‐type organic semiconductor (n‐OS) 3,9‐bis(2‐methylene‐ (3‐(1,1‐dicyanomethylene)‐indanone)‐5,5,11,11‐tetrakis(4‐ hexylphenyl)‐dithieno[2,3‐d:2′,3′‐d′]‐s‐indaceno[1,2‐b:5,6‐b′]‐ dithiophene (ITIC) and m‐ITIC as acceptor. J81 possesses a lower‐lying highest occupied molecular orbital (HOMO) energy level of −5.43 eV and medium bandgap of 1.93 eV with complementary absorption in the visible–near infrared region with the n‐OS acceptor. The PSCs based on J81:ITIC and J81:m‐ITIC yield high power conversion efficiency of 10.60% and 11.05%, respectively, with high V oc of 0.95–0.96 V benefit from the lower‐lying HOMO energy level of J81 donor. The work indicates that J81 is another promising polymer donor for the nonfullerene PSCs."
52,10.1002/aenm.201700770,"Organic solar cells that are free of burn‐in, the commonly observed rapid performance loss under light, are presented. The solar cells are based on poly(3‐hexylthiophene) (P3HT) with varying molecular weights and a nonfullerene acceptor (rhodanine‐benzothiadiazole‐coupled indacenodithiophene, IDTBR) and are fabricated in air. P3HT:IDTBR solar cells light‐soaked over the course of 2000 h lose about 5% of power conversion efficiency (PCE), in stark contrast to [6,6]‐Phenyl C61 butyric acid methyl ester (PCBM)‐based solar cells whose PCE shows a burn‐in that extends over several hundreds of hours and levels off at a loss of ≈34%. Replacing PCBM with IDTBR prevents short‐circuit current losses due to fullerene dimerization and inhibits disorder‐induced open‐circuit voltage losses, indicating a very robust device operation that is insensitive to defect states. Small losses in fill factor over time are proposed to originate from polymer or interface defects. Finally, the combination of enhanced efficiency and stability in P3HT:IDTBR increases the lifetime energy yield by more than a factor of 10 when compared with the same type of devices using a fullerene‐based acceptor instead."
53,10.1002/aenm.201700834,"“Nonfullerene” acceptors are proving effective in bulk heterojunction (BHJ) solar cells when paired with selected polymer donors. However, the principles that guide the selection of adequate polymer donors for high‐efficiency BHJ solar cells with nonfullerene acceptors remain a matter of some debate and, while polymer main‐chain substitutions may have a direct influence on the donor–acceptor interplay, those effects should be examined and correlated with BHJ device performance patterns. This report examines a set of wide‐bandgap polymer donor analogues composed of benzo[1,2‐b:4,5‐b′]dithiophene (BDT), and thienyl ([2H]T) or 3,4‐difluorothiophene ([2F]T) motifs, and their BHJ device performance pattern with the nonfullerene acceptor “ITIC”. Studies show that the fluorine‐ and ring‐substituted derivative PBDT(T)[2F]T largely outperforms its other two polymer donor counterparts, reaching power conversion efficiencies as high as 9.8%. Combining several characterization techniques, the gradual device performance improvements observed on swapping PBDT[2H]T for PBDT[2F]T, and then for PBDT(T)[2F]T, are found to result from (i) notably improved charge generation and collection efficiencies (estimated as ≈60%, 80%, and 90%, respectively), and (ii) reduced geminate recombination (being suppressed from ≈30%, 25% to 10%) and bimolecular recombination (inferred from recombination rate constant comparisons). These examinations will have broader implications for further studies on the optimization of BHJ solar cell efficiencies with polymer donors and a wider range of nonfullerene acceptors."
54,10.1002/aenm.201701125,"Despite rapid advances in the field of nonfullerene polymer solar cells (NF‐PSCs), successful examples of random polymer‐based NF‐PSCs are limited. In this study, it is demonstrated that random donor polymers based on thieno[2′,3′:5′,6′]pyrido[3,4‐g]thieno[3,2‐c]isoquinoline‐5,11(4H,10H)‐dione (TPTI) containing two simple thiophene (T) and bithiophene (2T) electron‐rich moieties (PTTI‐Tx) can be promising materials for the fabrication of highly efficient NF‐PSCs. With negligible influence on optical bandgaps and energy levels, the crystalline behavior of PTTI‐Tx polymers was modulated by varying the T:2T ratio in the polymer backbone; this resulted in the formation of different microstructures upon blending with a nonfullerene m‐ITIC acceptor in NF‐PSCs. In particular, a PTPTI‐T70:m‐ITIC system enabled favorable small‐scale phase separation with an increased population of face‐on oriented crystallites, thereby boosting the processes of effective exciton dissociation and charge transport in the device. Consequently, the highest power conversion efficiency of 11.02% with an enhanced short‐circuit current density of 17.12 mA cm−2 is achieved for the random polymer‐based NF‐PSCs thus far. These results indicate that random terpolymerization is a simple and practical approach for the optimization of a donor polymer toward highly efficient NF‐PSCs."
55,10.1002/aenm.201701674,"Nonfullerene polymer solar cells (PSCs) based on polymer donors and nonfullerene small molecular acceptors (SMAs) have recently attracted considerable attention. Although much of the progress is driven by the development of novel SMAs, the donor polymer also plays an important role in achieving efficient nonfullerene PSCs. However, it is far from clear how the polymer donor choice influences the morphology and performance of the SMAs and the nonfullerene blends. In addition, it is challenging to carry out quantitative analysis of the morphology of polymer:SMA blends, due to the low material contrast and overlapping scattering features of the π–π stacking between the two organic components. Here, a series of nonfullerene blends is studied based on ITIC‐Th blended with five different donor polymers. Through quantitative morphology analysis, the (010) coherence length of the SMA is characterized and a positive correlation between the coherence length of the SMA and the device fill factor (FF) is established. The study reveals that the donor polymer can significantly change the molecular ordering of the SMA and thus improve the electron mobility and domain purity of the blend, which has an overall positive effect that leads to the enhanced device FF for nonfullerene PSCs."
56,10.1002/aenm.201702831,"A terthieno[3,2‐b]thiophene (6T) based fused‐ring low bandgap electron acceptor, 6TIC, is designed and synthesized for highly efficient nonfullerene solar cells. The chemical, optical, and physical properties, device characteristics, and film morphology of 6TIC are intensively studied. 6TIC shows a narrow bandgap with band edge reaching 905 nm due to the electron‐rich π‐conjugated 6T core and reduced resonance stabilization energy. The rigid, π‐conjugated 6T also offers lower reorganization energy to facilitate very low VOC loss in the 6TIC system. The analysis of film morphology shows that PTB7‐Th and 6TIC can form crystalline domains and a bicontinuous network. These domains are enlarged when thermal annealing is applied. Consequently, the device based on PTB7‐Th:6TIC exhibits a high power conversion efficiency (PCE) of 11.07% with a high JSC > 20 mA cm−2 and a high VOC of 0.83 V with a relatively low VOC loss (≈0.55 V). Moreover, a semitransparent solar cell based on PTB7‐Th:6TIC exhibits a relatively high PCE (7.62%). The device can have combined high PCE and high JSC is quite rare for organic solar cells."
57,10.1002/aenm.201702870,"Three acceptor–donor–acceptor type nonfullerene acceptors (NFAs), namely, F–F, F–Cl, and F–Br, are designed and synthesized through a halogenation strategy on one successful nonfullerene acceptor FDICTF (F–H). The three molecules show red‐shifted absorptions, increased crystallinities, and higher charge mobilities compared with the F–H. After blending with donor polymer PBDB‐T, the F–F‐, F–Cl‐, and F–Br‐based devices exhibit power conversion efficiencies (PCEs) of 10.85%, 11.47%, and 12.05%, respectively, which are higher than that of F–H with PCE of 9.59%. These results indicate that manipulating the absorption range, crystallinity and mobilities of NFAs by introducing different halogen atoms is an effective way to achieve high photovoltaic performance, which will offer valuable insight for the designing of high‐efficiency organic solar cells."
58,10.1002/aenm.201800424,"A new small‐molecule acceptor (2,9‐bis(2‐methylene‐(3(1,1‐dicyanomethylene)benz[f]indanone))7,12‐dihydro‐(4,4,10,10‐tetrakis(4‐hexylphenyl)‐5,11‐diocthylthieno[3′,2′:4,5]cyclopenta[1,2‐b]thieno[2″,3″:3′,4′]cyclopenta[1′,2′:4,5]thieno[2,3‐f][1]benzothiophene) (NNBDT) based on naphthyl‐fused indanone ending units is reported. This molecule shows a narrow optical bandgap of 1.43 eV and effective absorption in the range of 700–870 nm. The devices based on poly[(2,6‐(4,8‐bis(5‐(2‐ethylhexyl)thiophen‐2‐yl)‐benzo[1,2‐b:4,5‐b′]dithiophene))‐alt‐(5,5‐(1′,3′‐di‐2‐thienyl‐5′,7′‐bis(2‐ethylhexyl)benzo[1′,2′‐c:4′,5′‐c′]dithiophene‐4,8‐dione))] (PBDB‐T):NNBDT yield a power conversion efficiency of 11.7% with a low energy loss of 0.55 eV and a high fill factor (FF) of 71.7%. Another acceptor (2,9‐bis(2‐methylene‐(3(1,1‐dicyanomethylene)benz[f]indanone))7,12‐dihydro‐4,4,7,7,12,12‐hexaoctyl‐4H‐cyclopenta[2″,1″:5,6;3″,4″:5′,6′]diindeno[1,2‐b:1′,2′‐b′]dithiophene (FDNCTF) is introduced as the third component to fabricate ternary devices. The two acceptors (NNBDT and FDNCTF) possess complementary absorption, same molecular orientation, and well‐miscible behavior. It is found that there exists a nonradiative energy transfer process from FDNCTF to NNBDT. The fullerene‐free ternary cells based on PBDB‐T:NNBDT:FDNCTF achieve a high efficiency of 12.8% with an improved short circuit current near 20 mA cm−2 in contrast to the binary devices. The result represents the best performance for fullerene‐free ternary solar cells reported to date and highlights the potential of ternary solar cells."
59,10.1002/aenm.201800815,"Two n‐type organic semiconductor (n‐OS) small molecules m‐ITIC‐2F and m‐ITIC‐4F with fluorinated 2‐(2,3‐dihydro‐3‐oxo‐1H‐inden‐1‐ylidene)propanedinitrile (IC) terminal moieties are prepared, for the application as an acceptor in polymer solar cells (PSCs), to further improve the photovoltaic performance of the n‐OS acceptor 3,9‐bis(2‐methylene‐(3‐(1,1‐dicyanomethylene) indanone) ‐5,5,11,11‐tetrakis(3‐hexylphenyl)‐dithieno[2,3‐d:2′,3′‐d′]‐sindaceno[1,2‐b:5,6‐b′]‐dithiophene (m‐ITIC). Compared to m‐ITIC, these two new acceptors show redshifted absorption, higher molecular packing order, and improved electron mobilities. The power conversion efficiencies (PCE) of the as‐cast PSCs with m‐ITIC‐2F or m‐ITIC‐4F as an acceptor and a low‐cost donor–acceptor (D–A) copolymer PTQ10 as a donor reach 11.57% and 11.64%, respectively, which are among the highest efficiency for the as‐cast PSCs so far. Furthermore, after thermal annealing treatment, improved molecular packing and enhanced phase separation are observed, and the higher PCE of 12.53% is achieved for both PSCs based on the two acceptors. The respective and unique advantage with the intrinsic high degree of order, molecular packing, and electron mobilities of these two acceptors will be suitable to match with different p‐type organic semiconductor donors for higher PCE values, which provide a great potential for the PSCs commercialization in the near future. These results indicate that rational molecular structure optimization is of great importance to further improve photovoltaic properties of the photovoltaic materials."
60,10.1002/aenm.201801212,"Two narrow bandgap non‐fullerene acceptors (NBG‐NFAs), namely, COTIC‐4F and SiOTIC‐4F, are designed and synthesized for the fabrication of efficient near‐infrared organic solar cells (OSCs). The chemical structures of the NBG‐NFAs contain a D′‐D‐D′ electron‐rich internal core based on a cyclopentadithiophene (or dithienosilole) (D) and alkoxythienyl (D′) core, end‐capped with the highly electron‐deficient unit 2‐(5,6‐difluoro‐3‐oxo‐2,3‐dihydro‐1H‐inden‐1‐ylidene)malononitrile (A), ultimately providing a A‐D′‐D‐D′‐A molecular configuration that enhances the intramolecular charge transfer characteristics of the excited states. One can thereby reduce the optical bandgap (Egopt) to as low as ≈1.10 eV, one of the smallest values for NFAs reported to date. In bulk‐heterojunction (BHJ) OSCs, NBG‐NFA blends with the polymer donor PTB7‐Th yield power conversion efficiencies (PCE) of up to 9.0%, which is particularly high when compared against a range of NBG BHJ blends. Most significantly, it is found that, despite the small energy loss (Egopt − eVOC) of 0.52 eV, the PTB7‐Th/NBG‐NFA bulk heterojunction blends can yield short‐circuit current densities of up to 22.8 mA cm−2, suggesting that the design and application of NBG‐NFA materials have substantial potential to further improve the PCE of OSCs."
61,10.1002/aenm.201801214,"A new weak electron‐deficient building block, bis(2‐ethylhexyl) 2,5‐bis(5‐bromothiophen‐2‐yl) thieno[3,2‐b]thiophene‐3,6‐dicarboxylate (TT‐Th), is incorporated to construct a wide‐bandgap (1.88 eV) polymer PBDT‐TT for nonfullerene polymer solar cells (NF‐PSCs). PBDT‐TT possesses suitable energy levels and complementary absorption when blended with both ITIC analogues (ITIC and IT‐M) and a near‐infrared (NIR) acceptor (6TIC). Moreover, PBDT‐TT exhibits good conjugated planarity and preferable face‐on orientation in the blended thin film, which are beneficial for charge transfer and carrier transport. The PSCs based on PBDT‐TT:IT‐M and PBDT‐TT:6TIC blend films yield high power conversion efficiencies of 11.38% and 11.03%, respectively. To the best of the authors' knowledge, the PCE of 11.03% for PBDT‐TT:6TIC‐based device is one of the highest values reported for NIR NF‐PSCs. This work demonstrates that TT‐Th is a useful new electron‐accepting building block for making p‐type wide bandgap polymers for efficient NIR NF‐PSCs."
62,10.1002/aenm.201801203,"The field of nonfullerene organic solar cells (OSCs) has seen an impressive progress, largely due to advances in high‐performance small molecule acceptors (SMAs). As a large portion of the solar energy is located in the near‐infrared region, it is important to develop ultralow‐bandgap SMAs that have extended absorption in the spectral range of 800–1000 nm to maximize light absorption and efficiencies. In this work, three low‐bandgap SMAs, namely, IXIC, IXIC‐2Cl, and IXIC‐4Cl, are designed and synthesized with same fused terthieno[3,2‐b]thiophene donor unit and different end groups (EGs). The three SMAs all have low optical bandgap (Eg) of 1.35, 1.30, and 1.25 eV, respectively. The chlorination on EGs can lower the energy level and broaden absorption range of the SMAs. As a result, the Voc of the devices is reduced but the Jsc is significantly increased. In addition, the addition of chlorine atoms can enhance π–π stacking and crystallinity of the SMAs, which result in high fill factors. Overall, the optimum EGs are monochlorine‐substituted IC and OSCs based on PBDB‐T:IXIC‐2Cl that can achieve remarkable power conversion efficiencies (PCEs) of 12.2%, which is one of the highest PCEs for nonfullerene organic solar cells based on low‐bandgap SMAs."
63,10.1002/aenm.201801209,"A series of narrow bandgap electron acceptors is designed and synthesized for efficient near‐infrared (NIR) organic solar cells. Extending π‐conjugation of donor frameworks leads to an intense intramolecular charge transfer, resulting in broad absorption profiles with band edge reaching 950 nm. When blended with an electron donor polymer PTB7‐Th, IOTIC‐2F exhibits efficient charge transfer even with a small energetic offset, so as to achieve a large photogenerated current over 22 mA cm−2 with small energy losses (≈0.49 eV) in solar cell devices. With an intense NIR absorbance, PTB7‐Th:IOTIC‐2F‐based cells achieve a power conversion efficiency of 12.1% with good visible transparency (52% transmittance from 370 to 740 nm). Analysis of film morphology reveals that processing with solvent additives enhances crystalline features of acceptor components, while keeping an appropriate level of donor:acceptor intermixing in the binary blends. The incorporation of the third component, ITIC‐2F, into the PTB7‐Th:IOTIC‐2F blends increases the device efficiency up to 12.9%. The improvement is assigned to the cascaded energy‐level structure and desirable nanoscale phase separation of the ternary blends, which is beneficial to the photocurrent generation. This work provides an efficient molecular design strategy to optimize nonfullerene acceptor properties for efficient NIR organic photovoltaics."
64,10.1002/aenm.201801618,"Three low‐bandgap nonfullerene acceptors (NFAs) IDTO‐T‐4F, IDTO‐Se‐4F, and IDTO‐TT‐4F with extended conjugation length are designed and synthesized. Various π‐spacers, thiophene, selenophene, and thieno[3,2‐b]thiophene are incorporated to extend the conjugated length and enhance the backbone planarity via noncovalent O···S or O···Se interactions. These NFAs exhibit strong light absorption in the range of 600–900 nm with narrow bandgaps between 1.38 and 1.45 eV. By blending with a wide‐bandgap donor material PBDB‐T, organic solar cells (OSCs) based on these NFAs all yield high efficiency over 10% with low energy losses ranging from 0.52 to 0.59 eV. Importantly, as a result of relatively high lowest unoccupied molecular orbital level, large hole and electron mobility in blend film, and low charge carrier recombination loss, optimized devices based on IDTO‐T‐4F exhibit a large open‐circuit voltage of 0.864 V, a high short‐circuit current density of 20.12 mA cm−2, and a notable fill factor of 72.7%, leading to an impressive efficiency of 12.62%, which represents the best performance for NFA OSCs using noncovalent interactions in acceptor molecule design. The results indicate that optimizing the conjugation length and backbone planarity via intramolecular noncovalent O···S or O···Se interactions is a useful strategy for NFA materials invention toward high‐performance solar cells."
65,10.1002/adfm.201501971,"In this study, we investigate the influence of molecular geometry of the donor polymers and the perylene diimide dimers (di‐PDIs) on the bulk heterojunction (BHJ) morphology in the nonfullerene polymer solar cells (PSCs). The results reveal that the pseudo 2D conjugated poly[4,8‐bis(5‐(2‐ethylhexyl)thiophen‐2‐yl)benzo[1,2‐b;4,5‐b′]dithiophene‐2,6‐diyl‐alt‐(4‐(2‐ethylhexyl)‐3‐fluorothieno[3,4‐b]thiophene‐)‐2‐carboxylate‐2‐6‐diyl)] (PTB7‐Th) has better miscibility with both bay‐linked di‐PDI (B‐di‐PDI) and hydrazine‐linked di‐PDI (H‐di‐PDI) compared to its 1D analog, poly[[4,8‐bis[(2‐ethylhexyl)oxy]benzo[1,2‐b:4,5‐b′]dithiophene‐2,6‐diyl][3‐fluoro‐2‐[(2‐ethylhexyl)carbonyl]thieno[3,4‐b]thiophenediyl]] (PTB7), to facilitate more efficient exciton dissociation in the BHJ films. However, the face‐on oriented π–π stacking of PTB7‐Th is severely disrupted by the B‐di‐PDI due to its more flexible structure. On the contrary, the face‐on oriented π–π stacking is only slightly disrupted by the H‐di‐PDI, which has a more rigid structure to provide suitable percolation pathways for charge transport. As a result, a very high power conversion efficiency (PCE) of 6.41% is achieved in the PTB7‐Th:H‐di‐PDI derived device. This study shows that it is critical to pair suitable polymer donor and di‐PDI‐based acceptor to obtain proper BHJ morphology for achieving high PCE in the nonfullerene PSCs."
66,10.1002/adfm.201502413,"This work focuses on developing diketopyrrolopyrrole (DPP)‐based small molecular nonfullerene acceptors for bulk heterojunction (BHJ) organic solar cells. The materials, SF‐DPPs, have an X‐shaped geometry arising from four DPP units attached to a spirobifluorene (SF) center. The spiro‐dimer of DPP‐fluorene‐DPP is highly twisted, which suppresses strong intermolecular aggregation. Branched 2‐ethylhexyl (EH), linear n‐octyl (C8), and n‐dodecyl (C12) alkyl sides are chosen as substituents to functionalize the N,N‐positions of the DPP moiety to tune molecular interactions. SF‐DPPEH, the best candidate in SF‐DPPs family, when blended with poly(3‐hexylthiophene) (P3HT) showed a moderate crystallinity and gives a Jsc of 6.96 mA cm−2, Voc of 1.10 V, a fill factor of 47.5%, and a power conversion efficiency of 3.63%. However, SF‐DPPC8 and SF‐DPPC12 exhibit lower crystallinity in their BHJ blends, which is responsible for their reduced Jsc. Coupling DPP units with SF using an acetylene bridge yields SF‐A‐DPP molecules. Such a small modification leads to drastically different morphological features and far inferior device performance. These observations demonstrate a solid structure–property relationship by topology control and material design. This work offers a new molecular design approach to develop efficient small molecule nonfullerene acceptors."
67,10.1002/adfm.201504153,"The development of nonfullerene acceptor materials applicable to organic photovoltaics (OPVs) has attracted considerable attention for the achievement of a high power conversion efficiency (PCE) in recent years. However, it is still challenging due to the insufficiency of both the variety of effective electron‐deficient units and certain guidelines for the design of such materials. This work focusses on naphtho[1,2‐c:5,6‐c′]bis[1,2,5]thiadiazole (NTz) as a key electron‐deficient unit. Therefore, a new electron‐accepting π‐conjugated compound (NTz‐Np), whose structure is based on the combination of NTz and the fluorene‐containing imide‐annelated terminal units (Np), is designed and synthesized. The NTz‐Np compound exhibits a narrow optical energy gap (1.73 eV), a proper energy level (−3.60 eV) of the lowest unoccupied molecular orbital, and moderate electron mobility (1.6 × 10−5 cm2 V−1 s−1), indicating that NTz‐Np has appropriate characteristics as an acceptor against poly(3‐hexylthiophene) (P3HT), a representative donor. OPV devices based on NTz‐Np under the blend with P3HT show high photovoltaic performance with a PCE of 2.81%, which is the highest class among the P3HT/nonfullerene‐based OPVs with the conventional device structure. This result indicates that NTz unit can be categorized as a potential electron‐deficient unit for the nonfullerene acceptors."
68,10.1002/adfm.201603892,"Nonfullerene polymer solar cells (PSCs) are fabricated with a perylene monoimide‐based n‐type wide‐bandgap organic semiconductor PMI‐F‐PMI as an acceptor and a bithienyl‐benzodithiophene‐based wide‐bandgap copolymer PTZ1 as a donor. The PSCs based on PTZ1:PMI‐F‐PMI (2:1, w/w) with the treatment of a mixed solvent additive of 0.5% N‐methyl pyrrolidone and 0.5% diphenyl ether demonstrate a very high open‐circuit voltage (Voc) of 1.3 V with a higher power conversion efficiency (PCE) of 6%. The high Voc of the PSCs is a result of the high‐lying lowest unoccupied molecular orbital (LUMO) of −3.42 eV of the PMI‐F‐PMI acceptor and the low‐lying highest occupied molecular orbital (HOMO) of −5.31 eV of the polymer donor. Very interestingly, the exciton dissociation efficiency in the active layer is quite high, even though the LUMO and HOMO energy differences between the donor and acceptor materials are as small as ≈0.08 and 0.19 eV, respectively. The PCE of 6% is the highest for the PSCs with a Voc as high as 1.3 V. The results indicate that the active layer based on PTZ1/PMI‐F‐PMI can be used as the front layer in tandem PSCs for achieving high Voc over 2 V."
69,10.1002/adfm.201701491,"Two novel wide bandgap copolymers based on quinoxalino[6,5‐f]quinoxaline (NQx) acceptor block, PBDT–NQx and PBDTS–NQx, are successfully synthesized for efficient nonfullerene polymer solar cells (PSCs). The attached conjugated side chains on both benzodithiophene (BDT) and NQx endow the resulting copolymers with low‐lying highest occupied molecular orbital (HOMO) levels. The sulfur atom insertion further reduces the HOMO level of PBDTS–NQx to −5.31 eV, contributing to a high open‐circuit voltage, Voc, of 0.91 V. Conjugated n‐octylthienyl side chains attached on the NQx skeletons also significantly improve the π–π* transitions and optical absorptions of the copolymers in the region of short wavelengths, which induce a good complementary absorption when blending with the low bandgap small molecular acceptor of 3,9‐bis(2‐methylene‐(3‐(1,1‐dicyanomethylene)‐indanone))‐5,5,11,11‐tetrakis(4‐hexylphenyl)‐dithieno[2,3‐d:2′,3′‐d′]‐s‐indaceno[1,2‐b:5,6‐b′]dithiophene. The wide absorption range makes the active blends absorb more photons, giving rise to a high short‐circuit current density, Jsc, value of 15.62 mA cm−2. The sulfur atom insertion also enhances the crystallinity of PBDTS–NQx and presents its blend film with a favorable nanophase separation, resulting in improved Jsc and fill factor (FF) values with a high power conversion efficiency of 11.47%. This work not only provides a new fused ring acceptor block (NQx) for constructing high‐performance wide bandgap copolymers but also provides the NQx‐based copolymers for achieving highly efficient nonfullerene PSCs."
70,10.1002/adfm.201704389,"Nonfullerene acceptors (NFAs) in blends with highly crystalline donor polymers have been shown to yield particularly high device voltage outputs, but typically more modest quantum yields for photocurrent generation as well as often lower fill factors (FF). In this study, we employ transient optical and optoelectronic analysis to elucidate the factors determining device photocurrent and FF in blends of the highly crystalline donor polymer PffBT4T‐2OD with the promising NFA FBR or the more widely studied fullerene acceptor PC71BM. Geminate recombination losses, as measured by ultrafast transient absorption spectroscopy, are observed to be significantly higher for PffBT4T‐2OD:FBR blends. This is assigned to the smaller LUMO‐LUMO offset of the PffBT4T‐2OD:FBR blends relative to PffBT4T‐2OD:PC71BM, resulting in the lower photocurrent generation efficiency obtained with FBR. Employing time delayed charge extraction measurements, these geminate recombination losses are observed to be field dependent, resulting in the lower FF observed with PffBT4T‐2OD:FBR devices. These data therefore provide a detailed understanding of the impact of acceptor design, and particularly acceptor energetics, on organic solar cell performance. Our study concludes with a discussion of the implications of these results for the design of NFAs in organic solar cells."
71,10.1002/adfm.201704507,"To maximize the short‐circuit current density (JSC) and the open circuit voltage (VOC) simultaneously is a highly important but challenging issue in organic solar cells (OSCs). In this study, a benzotriazole‐based p‐type polymer (J61) and three benzotriazole‐based nonfullerene small molecule acceptors (BTA1‐3) are chosen to investigate the energetic driving force for the efficient charge transfer. The lowest unoccupied molecular orbital (LUMO) energy levels of small molecule acceptors can be fine‐tuned by modifying the end‐capping units, leading to high VOC (1.15–1.30 V) of OSCs. Particularly, the LUMO energy level of BTA3 satisfies the criteria for efficient charge generation, which results in a high VOC of 1.15 V, nearly 65% external quantum efficiency, and a high power conversion efficiency (PCE) of 8.25%. This is one of the highest VOC in the high‐performance OSCs reported to date. The results imply that it is promising to achieve both high JSC and VOC to realize high PCE with the carefully designed nonfullerene acceptors."
72,10.1002/adfm.201705095,"In this work, sidechain engineering on conjugated fused‐ring acceptors for conformation locking is demonstrated as an effective molecular design strategy for high‐performance nonfullerene organic solar cells (OSCs). A novel nonfullerene acceptor (ITC6‐IC) is designed and developed by introducing long alkyl chains into the terminal electron‐donating building blocks. ITC6‐IC has achieved definite conformation with a planar structure and better solubility in common organic solvents. The weak electron‐donating hexyl upshifts the lowest unoccupied molecular orbital level of ITC6‐IC, resulting in a higher VOC in comparison to the widely used ITIC. The OSCs based on PBDB‐T:ITC6‐IC reveal a promising power conversion efficiency of 11.61% and an expected high VOC of 0.97 V. The weaker π–π stacking induced by steric hindrance affords ITC6‐IC with enhanced compatibility with polymer donors. The blend film treated with suitable thermal annealing exhibits a fibril crystallization feature with a good bicontinuous network morphology. The results indicate that the molecular design approach of ITC6‐IC can be inspirational for future development of nonfullerene acceptors for high efficiency OSCs."
73,10.1002/adfm.201705659,"The considerable improvement on the power conversion efficiency (PCE) for emerging nonfullerene polymer solar cells is still limited by considerable voltage losses that have become one of the most significant obstacles in further boosting desired photovoltaic performance. Here, a comprehensive study is reported to understand the impacts of charge transport, energetic disorder, and charge transfer states (CTS) on the losses in open‐circuit voltage (Voc) based on three high performing bulk heterojunction solar cells with the best PCE exceeding 11%. It is found that the champion poly[(2,6‐(4,8‐bis(5‐(2‐ethylhexyl)thiophen‐2‐yl)benzo[1,2‐b:4,5‐b′]dithiophene)‐co‐(1,3‐di(5‐thiophene‐2‐yl)‐5,7‐bis(2‐ethylhexyl)‐benzo[1,2‐c:4,5‐c′]dithiophene‐4,8‐dione))] (PBDB‐T):IT‐M solar cell (PCE = 11.5%) is associated with the least disorder. The determined energetic disorder in part reconciles the difference in Voc between the solar cells. A reduction is observed in the nonradiative losses (ΔVnonrad) coupled with the increase of energy of CTS for the PBDB‐T:IT‐M device, which may be related to the improved balance in carrier mobilities, and partially can explain the gain in Voc. The determined radiative limit for Voc combined with the ΔVnonrad generates an excellent agreement for the Voc with the experimental values. The results suggest that minimizing the energetic disorder related to transport and CTS is critical for the mitigation of Voc losses and improvements on the device performance."
74,10.1002/adfm.201705927,"Molecular engineering of nonfullerene acceptors (NFAs) plays a vital role in the development of organic photovoltaics. Oxygen as an electron donating atom is incorporated into the NFA system as alkoxyl forms at central, terminal, or central conjugated moieties due to the tunability at structural conformation, solubility, electron donating ability, absorption, energy levels, etc. In this work, a novel dipyran‐based ladder‐type building block (Ph‐DTDP), which possesses two oxygen atoms in the conjugated skeleton, is designed and facilely synthesized. It is applied as the donor core for the acceptor–donor–acceptor‐type NFA design and such functionalized‐O efficiently enhances the electron donating ability, lowers the band gap, redshifts and extends the absorption spectra. In addition, the π‐bridge effects are considered as well. Photovoltaic performances are systematically investigated and a high power conversion efficiency of 9.21% can be afforded with an energy loss of 0.57 eV. Meanwhile, the morphologies as well as the carrier mobilities of the blend films are studied to assist further understanding of the structure–property relationships. Overall, the study in this work provides a new promising ladder‐type dipyran building block and brings in a novel way to use oxygen in NFA molecular structure design."
75,10.1002/adfm.201706404,"In this work, four donor (D)–acceptor (A) copolymers based on benzodithiophene (BDT) and benzothiadiazole (BT) with different alkylthiolated and/or fluorinated side chains are developed for efficient fullerene and nonfullerene polymer solar cells (PSCs). The synergistic effect of sulfuration and fluorination on the optical absorption, energy level, crystallinity, carrier mobility, blend morphology, and photovoltaic performance is investigated systematically. By incorporating sulfur atoms onto the side chains, a little blueshifted but significantly increased absorption can be obtained for PBDTS‐FBT compared to PBDT‐FBT. On the other side, a little more blueshifted but much stronger absorption and much lower‐lying highest occupied molecular orbital (HOMO) level can be realized for PBDTF‐FBT when introducing fluorine atoms instead of sulfur atoms. With the combination of both fluorination and sulfuration strategies, PBDTS‐FBT exhibits the best absorption ability, lowest HOMO energy level, and highest crystallinity, which make PBDTSF‐FBT devices show the highest power conversion efficiency (PCE) of 10.69% in fullerene PSCs and 11.66% in nonfullerene PSCs. The PCE of 11.66% is the best value for PSCs based on BT‐containing copolymer donors reported so far. The results indicate that fluorination and sulfuration have a synergistically positive effect on the performance of D–A photovoltaic copolymers and their solar cell devices."
